0.02,0,0.0823366
0.04,0,0.131919
0.06,0,0.16709
0.06,0.02,0.0816333
0.08,0,0.194186
0.08,0.02,0.117525
0.1,0,0.216199
0.1,0.02,0.14007
0.12,0,0.235145
0.12,0.02,0.169436
0.12,0.04,0.115305
0.14,0,0.247548
0.14,0.02,0.196956
0.14,0.04,0.139086
0.16,0,0.258054
0.16,0.02,0.220539
0.16,0.04,0.16318
0.18,0,0.263335
0.18,0.02,0.243409
0.18,0.04,0.1831
0.18,0.06,0.148561
0.2,0,0.258929
0.2,0.02,0.265157
0.2,0.04,0.204442
0.2,0.06,0.151023
0.22,0,0.270115
0.22,0.02,0.288337
0.22,0.04,0.225827
0.22,0.06,0.168231
0.24,0,0.2675
0.24,0.02,0.297145
0.24,0.04,0.229958
0.24,0.06,0.18505
0.24,0.08,0.157963
0.26,0,0.268065
0.26,0.02,0.297374
0.26,0.04,0.247425
0.26,0.06,0.196928
0.26,0.08,0.166953
0.28,0,0.265718
0.28,0.02,0.296049
0.28,0.04,0.265064
0.28,0.06,0.225271
0.28,0.08,0.173864
0.28,0.1,0.165844
0.3,0,0.259236
0.3,0.02,0.305178
0.3,0.04,0.271363
0.3,0.06,0.240007
0.3,0.08,0.189145
0.3,0.1,0.170156
0.32,0,0.254901
0.32,0.02,0.283438
0.32,0.04,0.290311
0.32,0.06,0.247347
0.32,0.08,0.204593
0.32,0.1,0.173155
0.34,0,0.255464
0.34,0.02,0.271462
0.34,0.04,0.297377
0.34,0.06,0.252437
0.34,0.08,0.225447
0.34,0.1,0.183197
0.34,0.12,0.161922
0.36,0,0.246431
0.36,0.02,0.250651
0.36,0.04,0.300762
0.36,0.06,0.260154
0.36,0.08,0.232717
0.36,0.1,0.199322
0.36,0.12,0.173357
0.38,0,0.230868
0.38,0.02,0.228521
0.38,0.04,0.282972
0.38,0.06,0.259204
0.38,0.08,0.235278
0.38,0.1,0.198377
0.38,0.12,0.178633
0.4,0,0.229879
0.4,0.02,0.21742
0.4,0.04,0.275425
0.4,0.06,0.275275
0.4,0.08,0.238746
0.4,0.1,0.211631
0.4,0.12,0.18869
0.4,0.14,0.166794
0.42,0,0.221007
0.42,0.02,0.217939
0.42,0.04,0.272197
0.42,0.06,0.274222
0.42,0.08,0.252308
0.42,0.1,0.226682
0.42,0.12,0.19604
0.42,0.14,0.178526
0.44,0,0.211086
0.44,0.02,0.203736
0.44,0.04,0.263564
0.44,0.06,0.27836
0.44,0.08,0.250466
0.44,0.1,0.229344
0.44,0.12,0.201549
0.44,0.14,0.181171
0.46,0,0.203077
0.46,0.02,0.192827
0.46,0.04,0.244516
0.46,0.06,0.273331
0.46,0.08,0.266434
0.46,0.1,0.234812
0.46,0.12,0.212966
0.46,0.14,0.193232
0.46,0.16,0.172874
0.48,0,0.200585
0.48,0.02,0.185458
0.48,0.04,0.225785
0.48,0.06,0.26922
0.48,0.08,0.258792
0.48,0.1,0.245105
0.48,0.12,0.225528
0.48,0.14,0.193518
0.48,0.16,0.170625
0.5,0,0.185329
0.5,0.02,0.192151
0.5,0.04,0.202079
0.5,0.06,0.25539
0.5,0.08,0.252373
0.5,0.1,0.247931
0.5,0.12,0.226656
0.5,0.14,0.200791
0.5,0.16,0.168682
0.5,0.18,0.162479
0.52,0,0.177152
0.52,0.02,0.187362
0.52,0.04,0.184511
0.52,0.06,0.231699
0.52,0.08,0.248833
