v (m/s) my_method calculated
1,    26.6668,	 0.112372
1.5,  5.54987,   0.209575
2,    1.74725,   0.305178
2.5, -1.08316,	 0.377062
3,   -0.51,	 0.443533
3.5, -0.283359,	 0.521793
4,   -0.166954,  0.590507
4.5, -0.103131,  0.696453
5,   -0.0680337, 0.727327
5.5, -0.0464794, 0.820361
6,   -0.0328417, 0.877303
